id_inv_nb,id_inv_dt,id_custmr_id,id_sku_nb,id_catgry_nm,id_sold_qy,id_price_am,id_tax_am,id_subtotal_am
29,2016-04-17 14:49:59,mrichards4z@slideshare.net,1248,Health,1,38.27,3.16,41.43
18,2016-06-11 19:40:35,jwillis3g@java.com,1018,Toys,1,55.92,4.61,60.53
6,2016-12-08 00:25:44,fbell19@oaic.gov.au,1082,Electronics,2,10.43,1.72,12.15
9,2016-12-15 23:23:23,jgordon1u@oracle.com,1345,Sports,3,48.13,11.91,60.04
24,2016-07-22 02:16:23,cthomas4m@odnoklassniki.ru,1158,Industrial,5,3.74,1.54,5.28
47,2016-04-14 21:41:56,dwatsonw@microsoft.com,1198,Automotive,3,3.03,0.75,3.78
12,2017-01-18 11:00:15,rreed56@stumbleupon.com,1155,Music,1,53.1,4.38,57.48
38,2016-05-06 15:49:44,vandrewsq@indiatimes.com,1052,Movies,3,11.52,2.85,14.37
10,2017-02-26 03:49:54,ealexanderh@npr.org,1247,Clothing,1,11.61,0.96,12.57
30,2016-08-01 20:28:08,ahughes4g@si.edu,1130,Clothing,4,17.75,5.86,23.61
18,2016-06-11 19:40:35,jwillis3g@java.com,1328,Electronics,4,61.8,20.39,82.19
11,2016-10-14 10:30:33,cgreen4@blogger.com,1121,Sports,1,35.36,2.92,38.28
36,2016-05-08 20:03:20,wvasquezg@canalblog.com,1198,Automotive,3,3.03,0.75,3.78
42,2016-05-09 01:04:57,kadams1c@jiathis.com,1193,Shoes,2,34.36,5.67,40.03
46,2016-10-21 01:20:32,jperry4e@omniture.com,1236,Baby,4,24.91,8.22,33.13
47,2016-04-14 21:41:56,dwatsonw@microsoft.com,1240,Outdoors,1,66.4,5.48,71.88
32,2016-05-15 11:38:49,khoward5@go.com,1157,Outdoors,4,51.86,17.11,68.97
34,2017-02-24 14:59:54,mmarshall2z@independent.co.uk,1069,Toys,3,4.49,1.11,5.6
3,2016-09-28 18:17:32,lmoore4y@salon.com,1297,Garden,1,9.49,0.78,10.27
21,2016-10-05 05:32:33,showard5f@addtoany.com,1183,Outdoors,5,52.31,21.58,73.89
45,2016-04-16 20:30:33,ksanchez3d@rediff.com,1101,Music,5,7.48,3.09,10.57
12,2017-01-18 11:00:15,rreed56@stumbleupon.com,1182,Beauty,2,15.17,2.5,17.67
5,2017-01-24 21:49:30,mgrant1g@cisco.com,1155,Music,4,53.1,17.52,70.62
5,2017-01-24 21:49:30,mgrant1g@cisco.com,1314,Kids,1,20.15,1.66,21.81
9,2016-12-15 23:23:23,jgordon1u@oracle.com,1234,Grocery,5,43.67,18.01,61.68
15,2017-02-26 22:17:45,lkelley3c@vistaprint.com,1014,Electronics,4,40.14,13.25,53.39
41,2016-09-06 18:32:09,swest3j@sina.com.cn,1047,Games,2,50.57,8.34,58.91
35,2016-11-20 08:34:58,bhamilton1@free.fr,1252,Music,4,13.51,4.46,17.97
42,2016-05-09 01:04:57,kadams1c@jiathis.com,1088,Jewelery,5,46.59,19.22,65.81
22,2016-12-06 22:35:33,dwatkins2l@auda.org.au,1258,Electronics,3,5.71,1.41,7.12
22,2016-12-06 22:35:33,dwatkins2l@auda.org.au,1120,Books,4,33.8,11.15,44.95
25,2016-12-05 16:58:34,swest28@wunderground.com,1083,Games,1,15.2,1.25,16.45
