ih_inv_nb,ih_inv_dt,ih_custmr_id,ih_subtotal_am,ih_tax_am,ih_total_am
1,2016-05-08 19:56:03,hcunningham15@apple.com,483.54,39.89,523.43
2,2016-12-24 23:22:36,tleen@usgs.gov,356.25,29.39,385.64
3,2016-09-28 18:17:32,lmoore4y@salon.com,25.56,2.11,27.67
4,2016-05-29 18:21:06,nallen35@twitter.com,161.86,13.35,175.21
5,2017-01-24 21:49:30,mgrant1g@cisco.com,96.48,7.96,104.44
6,2016-12-08 00:25:44,fbell19@oaic.gov.au,278.96,23.01,301.97
7,2016-04-29 04:43:16,ssandersp@house.gov,249.78,20.61,270.39
8,2016-05-03 01:21:26,fbell19@oaic.gov.au,378.93,31.26,410.19
9,2016-12-15 23:23:23,jgordon1u@oracle.com,477.17,39.37,516.54
10,2017-02-26 03:49:54,ealexanderh@npr.org,468.23,38.63,506.86
11,2016-10-14 10:30:33,cgreen4@blogger.com,10.66,0.88,11.54
12,2017-01-18 11:00:15,rreed56@stumbleupon.com,43.53,3.59,47.12
13,2016-12-27 10:25:47,fbell19@oaic.gov.au,440.45,36.34,476.79
14,2016-08-15 01:07:54,dkelly2d@miibeian.gov.cn,89.31,7.37,96.68
15,2017-02-26 22:17:45,lkelley3c@vistaprint.com,230.30,19.0,249.3
16,2016-08-10 01:55:06,bharvey57@nytimes.com,498.77,41.15,539.92
17,2016-09-08 17:02:02,bwilliamson3m@pbs.org,96.89,7.99,104.88
18,2016-06-11 19:40:35,jwillis3g@java.com,407.65,33.63,441.28
19,2016-11-11 01:11:15,tfields1a@blinklist.com,280.65,23.15,303.8
20,2016-12-15 05:33:04,jtaylor12@flavors.me,377.37,31.13,408.5
21,2016-10-05 05:32:33,showard5f@addtoany.com,181.04,14.94,195.98
22,2016-12-06 22:35:33,dwatkins2l@auda.org.au,451.50,37.25,488.75
23,2016-09-03 03:11:03,swilliams9@webs.com,128.86,10.63,139.49
24,2016-07-22 02:16:23,cthomas4m@odnoklassniki.ru,246.36,20.32,266.68
25,2016-12-05 16:58:34,swest28@wunderground.com,299.24,24.69,323.93
26,2017-02-23 08:04:32,jperry4e@omniture.com,209.38,17.27,226.65
27,2016-03-22 23:41:31,jdayj@cbsnews.com,176.83,14.59,191.42
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,331.64,27.36,359.0
29,2016-04-17 14:49:59,mrichards4z@slideshare.net,358.66,29.59,388.25
30,2016-08-01 20:28:08,ahughes4g@si.edu,146.31,12.07,158.38
31,2016-05-02 11:29:57,rbowman51@google.nl,471.66,38.91,510.57
32,2016-05-15 11:38:49,khoward5@go.com,429.60,35.44,465.04
33,2016-08-31 05:11:28,gwoodsk@indiegogo.com,468.70,38.67,507.37
34,2017-02-24 14:59:54,mmarshall2z@independent.co.uk,398.07,32.84,430.91
35,2016-11-20 08:34:58,bhamilton1@free.fr,88.07,7.27,95.34
36,2016-05-08 20:03:20,wvasquezg@canalblog.com,117.88,9.73,127.61
37,2017-03-01 21:44:10,kfreeman10@craigslist.org,279.90,23.09,302.99
38,2016-05-06 15:49:44,vandrewsq@indiatimes.com,423.15,34.91,458.06
39,2017-03-05 13:37:07,cbailey5a@wufoo.com,137.90,11.38,149.28
40,2016-11-21 10:57:34,cross2g@independent.co.uk,152.60,12.59,165.19
41,2016-09-06 18:32:09,swest3j@sina.com.cn,321.27,26.5,347.77
42,2016-05-09 01:04:57,kadams1c@jiathis.com,6.18,0.51,6.69
43,2017-01-13 13:14:16,lberry4i@dailymotion.com,41.00,3.38,44.38
44,2016-03-23 01:23:47,enichols3v@printfriendly.com,35.51,2.93,38.44
45,2016-04-16 20:30:33,ksanchez3d@rediff.com,65.12,5.37,70.49
46,2016-10-21 01:20:32,jperry4e@omniture.com,135.34,11.17,146.51
47,2016-04-14 21:41:56,dwatsonw@microsoft.com,126.83,10.46,137.29
48,2016-09-26 21:47:12,jsmitht@squidoo.com,248.61,20.51,269.12
49,2016-08-11 02:10:40,astonef@godaddy.com,26.50,2.19,28.69
50,2016-10-30 07:23:18,khendersonx@illinois.edu,252.74,20.85,273.59
