cu_id,cu_user_id,cu_email,cu_password,cu_first_nm,cu_last_nm,cu_dob,cu_gender,cu_address,cu_city,cu_st_id,cu_zip_code,cu_telephone
1,jqvGg90,cdean0@census.gov,aprUEl,Charles,Dean,10/7/1942,M,90 Delaware Terrace,Xuhui,25,,86-(570)592-5185
2,hmPzB9423,tgutierrez1@wiley.com,WHzehoC24,Terry,Gutierrez,2/19/2000,M,320 Troy Pass,Namayingo,13,,256-(629)150-3196
3,ixDiq680,bdavis2@vistaprint.com,4p5Nz1YAPy,Brandon,Davis,10/16/1979,M,3288 Raven Lane,Bastia,46,20414 CEDEX 9,33-(887)695-4528
4,gBERT54,mhamilton3@google.cn,v8xl2wpeOKX,Martin,Hamilton,9/18/1985,M,3 Bashford Junction,Krajan Karangwage,11,,62-(710)796-4755
5,rsQll710,emontgomery4@nps.gov,JATuaMm8Q7A9,Emily,Montgomery,4/8/1995,F,430 Moose Point,Bystřice nad Pernštejnem,15,593 01,420-(620)294-9472
6,FQehI623,pwright5@spotify.com,HUpQuIw,Philip,Wright,3/4/1960,M,9 John Wall Park,Zamboanguita,20,1812,63-(427)540-2362
7,UHtJf2135,bgarrett6@parallels.com,dfzHolhcegLG,Beverly,Garrett,12/6/1923,F,5 3rd Place,Kembangkerang Satu,22,,62-(450)789-3581
8,uGhEo652,skelley7@nytimes.com,PQEB5dWEQy,Scott,Kelley,1/30/2007,M,82 Buhler Center,An Lão,49,,84-(456)143-1320
9,TUUuS20,mmurphy8@homestead.com,Zjj8MPSS,Marie,Murphy,12/3/1952,F,62683 Sloan Pass,Kapatagan,9,9214,63-(543)399-8339
10,NaSUK65,mholmes9@cnbc.com,SWDDBtD0u,Matthew,Holmes,12/7/1979,M,38618 Novick Place,Al Qubbah,28,,218-(988)135-0538
11,iClEs60,hcruza@latimes.com,xPJWhqDeR,Helen,Cruz,11/28/1995,F,6182 Golf View Lane,Pozhang,12,,86-(262)803-7548
12,vgYZo527,mjonesb@baidu.com,jHMpeutB0N8m,Maria,Jones,10/20/1939,F,74038 Petterle Terrace,Izyaslav,42,,380-(563)912-5476
